,Gender,Age,Education Level,Preferred Subjects,Least preferred Subjects,Hours per week for school,Educational Level parent_1,Educational Level parent_2,CRT_points,Use AI school and freetime,Used AI,Frequency of use education,Frequency of use everyday life,Use of AI in freetime,Usefullness AI,Deal with AI,Understanding AI,Internet terms_Spyware,Internet terms_Cache,Internet terms_Advanced Search,Internet terms_PDF,Internet terms_Phishing,Internet terms_Wiki,True/False_1,True/False_2,True/False_3,True/False_4,True/False_5,True/False_6,Reliability AI,Concerns AI,Teachers preparing lessons,Teachers giving grades,Mates using AI,Allowance to use AI,Frequency use of AI_school,Most used subjects,Purposes to use AI,Reasons to use AI,Help of AI,True_False_Score,Internet_Understanding_Score,Internet Understanding (Grouped),gender_Keine Angabe,gender_Männlich,gender_Weiblich,privacy_Ich habe darüber noch nie nachgedacht.,privacy_Ja,privacy_Nein
62,Weiblich,14,Sek A,"Deutsch, Zeichnen / Kunst","Mathematik / Geometrie, Kochen",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,1,2,"ChatGPT,Gemini (Google)",Selten,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Falsch,Ich verstehe die Frage nicht,Ich verstehe die Frage nicht,Wahr,Wahr,Ich verstehe die Frage nicht,3,Ja,Stört mich ein wenig,Stört mich sehr,Oft,Nur für Hausaufgaben,Selten,"Mathematik, Geschichte","Erklärungen,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress",3.0,2,14,Schlechtes Verständnis,False,False,True,False,True,False
63,Männlich,14,Sek A,"Mathematik / Geometrie, Englisch, Sport","Französisch, Physik, Chemie",2-5 Stunden pro Woche,Abschluss eines Doktorat / Professur,Abschluss eines Doktorat / Professur,3,4,ChatGPT,Nie,Manchmal,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Eher gut,Eher gut,Schlechtes Verständnis,Kein Verständnis,Gutes Verständnis,Völliges Verständnis,Völliges Verständnis,Völliges Verständnis,Falsch,Wahr,Falsch,Wahr,Wahr,Falsch,4,Nein,Neutral / Mir egal,Stört mich sehr,Manchmal,Nur für Hausaufgaben,Nie,,,,,4,22,Gutes Verständnis,False,True,False,False,False,True
64,Männlich,14,Sek A,"Englisch, Sport","Biologie, Chemie, Physik",2-5 Stunden pro Woche,Abschluss eines Doktorat / Professur,Abschluss an einer Universität / ETH,1,3,ChatGPT,Manchmal,Manchmal,"Erstellen von Bildern / Videos,Ernährung",Sehr nützlich,Weder gut noch schlecht,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Völliges Verständnis,Wahr,Wahr,Ich weiss es nicht,Wahr,Ich verstehe die Frage nicht,Ich verstehe die Frage nicht,4,Nein,Neutral / Mir egal,Stört mich ein wenig,Oft,Nur für Hausaufgaben,Manchmal,"Mathematik, Deutsch","Erklärungen,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung",Als Prüfungsvorbereitung,4.0,0,13,Schlechtes Verständnis,False,True,False,False,False,True
65,Keine Angabe,14,Sek A,"Deutsch, Geschichte, Wirtschaft und Recht","Englisch, Französisch, Biologie",0-1 Stunde pro Woche,Obligatorische Schule,Abschluss an einer Hochschule / Fachhochschule,1,2,ChatGPT,Selten,Selten,Verständnisfragen über Wissen im Alltag,Wenig nützlich,Eher gut,Eher gut,Gutes Verständnis,Schlechtes Verständnis,Schlechtes Verständnis,Völliges Verständnis,Schlechtes Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,2,Ja,Stört mich ein wenig,Stört mich sehr,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,Deutsch,"Zusammenfassungen,Ideenfindung / Kreative Ideen",Zeitersparnis,2.0,6,19,Mittelmässiges Verständnis,True,False,False,False,True,False
66,Männlich,14,Sek A,"Mathematik / Geometrie, Informatik, Sport","Französisch, Chemie, Geschichte",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,3,3,"Gemini (Google),Microsoft Copilot",Manchmal,Manchmal,Verständnisfragen über Wissen im Alltag,Sehr nützlich,Eher gut,Eher gut,Gutes Verständnis,Gutes Verständnis,Gutes Verständnis,Völliges Verständnis,Gutes Verständnis,Völliges Verständnis,Falsch,Wahr,Falsch,Wahr,Wahr,Falsch,4,Nein,Finde ich gut,Finde ich gut,Manchmal,Nur für Hausaufgaben,Manchmal,Geografie,"Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt","Zeitersparnis,weniger Stress",3.0,4,26,Völliges Verständnis,False,True,False,False,False,True
67,Weiblich,14,Sek A,"Englisch, Handarbeit / Werken, Kochen","Mathematik / Geometrie, Physik",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,1,2,"ChatGPT,Meta AI (Whatsapp),My AI (Snapchat)",Selten,Manchmal,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Ziemlich nützlich,Eher gut,Eher gut,Schlechtes Verständnis,Kein Verständnis,Schlechtes Verständnis,Völliges Verständnis,Völliges Verständnis,Völliges Verständnis,Falsch,Ich weiss es nicht,Falsch,Wahr,Wahr,Falsch,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich sehr,Oft,"Ja, für beides",Selten,"Französisch, Englisch, Deutsch","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Grammatik / Rechtschreibung","weniger Stress,Als Prüfungsvorbereitung",3.0,4,20,Mittelmässiges Verständnis,False,False,True,True,False,False
68,Männlich,14,Sek A,"Geschichte, Englisch, Sport","Chemie, Französisch, Handarbeit / Werken",2-5 Stunden pro Woche,Matura,Abschluss an einer Hochschule / Fachhochschule,1,2,ChatGPT,Selten,Manchmal,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Teils/teils,Eher gut,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Schlechtes Verständnis,Völliges Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Falsch,3,Ja,Finde ich gut,Finde ich sehr gut,Oft,Nur für Hausaufgaben,Manchmal,"Biologie, Chemie, Physik","Erklärungen,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Grammatik / Rechtschreibung","Zeitersparnis,Für Fragen die ich nicht im Klassenraum stellen wollte",3.0,5,15,Schlechtes Verständnis,False,True,False,False,True,False
69,Weiblich,14,Sek A,"Mathematik / Geometrie, Deutsch, Geschichte","Englisch, Geografie, Handarbeit / Werken",Mehr als 5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Ich weiss es nicht,0,3,"ChatGPT,Meta AI (Whatsapp),My AI (Snapchat)",Manchmal,Nie,,Teils/teils,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Schlechtes Verständnis,Falsch,Wahr,Falsch,Ich weiss es nicht,Wahr,Falsch,3,Ich habe darüber noch nie nachgedacht.,Stört mich sehr,Stört mich sehr,Oft,"Ja, für beides",Manchmal,"Geografie, Französisch, Geschichte","Zusammenfassungen,Erklärungen,Vorbereiten von Vorträgen","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte",3.0,4,10,Kein Verständnis,False,False,True,True,False,False
70,Weiblich,14,Sek A,"Englisch, Religion und Kultur, Sport","Mathematik / Geometrie, Deutsch, Physik",2-5 Stunden pro Woche,Matura,Berufsabschluss,0,4,"ChatGPT,Meta AI (Whatsapp),My AI (Snapchat)",Manchmal,Selten,,Ziemlich nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Falsch,3,Ja,Neutral / Mir egal,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Deutsch, Französisch, Englisch","Erklärungen,Ideenfindung / Kreative Ideen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Bessere Erklärungen als von den Lehrern",4.0,5,11,Schlechtes Verständnis,False,False,True,False,True,False
71,Weiblich,15,Sek A,"Zeichnen / Kunst, Kochen, Sport","Biologie, Physik, Wirtschaft und Recht",Mehr als 5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Hochschule / Fachhochschule,0,2,"ChatGPT,Meta AI (Whatsapp)",Selten,Manchmal,Verständnisfragen über Wissen im Alltag,Teils/teils,Eher gut,Eher gut,Mittelmässiges Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Völliges Verständnis,Gutes Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,2,Nein,Stört mich sehr,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,"Deutsch, Geschichte, Berufsorientierung",Grammatik / Rechtschreibung,Hilfe bei Bewerbungen,2.0,6,20,Mittelmässiges Verständnis,False,False,True,False,False,True
72,Weiblich,14,Sek A,"Mathematik / Geometrie, Französisch, Biologie","Kochen, Religion und Kultur, Musik",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,0,2,Deep Seek,Selten,Manchmal,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Teils/teils,Sehr gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Falsch,Falsch,Wahr,Wahr,Wahr,Falsch,3,Ja,Stört mich sehr,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,Mathematik,Erklärungen,Für Fragen die ich nicht im Klassenraum stellen wollte,2.0,4,11,Schlechtes Verständnis,False,False,True,False,True,False
73,Weiblich,14,Sek A,"Deutsch, Geschichte, Zeichnen / Kunst","Englisch, Physik, Religion und Kultur",Mehr als 5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,2,4,ChatGPT,Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Eher gut,Sehr gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Wahr,Wahr,Ich weiss es nicht,Ich weiss es nicht,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Häufig,,"Zusammenfassungen,Erklärungen,Grammatik / Rechtschreibung","Zeitersparnis,Bessere Erklärungen als von den Lehrern",3.0,1,10,Kein Verständnis,False,False,True,True,False,False
74,Männlich,15,Sek A,"Englisch, Kochen, Sport","Deutsch, Französisch, Physik",0-1 Stunde pro Woche,Ich weiss es nicht,Obligatorische Schule,1,4,"ChatGPT,Deep Seek,Microsoft Copilot",Oft,Manchmal,Verständnisfragen über Wissen im Alltag,Sehr nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Völliges Verständnis,Wahr,Falsch,Falsch,Ich weiss es nicht,Ich verstehe die Frage nicht,Falsch,4,Ja,Neutral / Mir egal,Stört mich ein wenig,Manchmal,"Ja, für beides",Häufig,"Mathematik, Deutsch, Physik","Erklärungen,Schreiben von Texten","Zeitersparnis,Als Prüfungsvorbereitung",5.0,3,14,Schlechtes Verständnis,False,True,False,False,True,False
75,Männlich,14,Sek A,"Geografie, Kochen, Sport","Biologie, Chemie, Physik",Mehr als 5 Stunden pro Woche,Berufsabschluss,Berufsabschluss,0,1,,,,,,Eher gut,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Völliges Verständnis,Falsch,Wahr,Ich verstehe die Frage nicht,Wahr,Ich weiss es nicht,Ich weiss es nicht,3,Ja,Neutral / Mir egal,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Nie,,,,,1,14,Schlechtes Verständnis,False,True,False,False,True,False
76,Keine Angabe,14,Sek A,"Zeichnen / Kunst, Religion und Kultur, Musik","Mathematik / Geometrie, Französisch, Kochen",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,2,2,ChatGPT,Nie,Selten,Private Fragen zu persönlichen Themen,Teils/teils,Eher gut,Weder gut noch schlecht,Gutes Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Schlechtes Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Ich weiss es nicht,3,Ja,Neutral / Mir egal,Stört mich sehr,Oft,"Nein, weder für die Schule noch für die Hausaufgaben",Nie,,,,,4,17,Mittelmässiges Verständnis,True,False,False,False,True,False
77,Weiblich,14,Sek A,"Deutsch, Biologie, Religion und Kultur",Physik,Mehr als 5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,2,1,,,,,,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Gutes Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Falsch,Ich weiss es nicht,Falsch,Ich weiss es nicht,Wahr,Ich weiss es nicht,3,Ja,Stört mich ein wenig,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Nie,,,,,3,12,Schlechtes Verständnis,False,False,True,False,True,False
78,Weiblich,14,Sek A,"Musik, Zeichnen / Kunst, Englisch",Französisch,2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,3,ChatGPT,Manchmal,Nie,,Wenig nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Falsch,Wahr,Ich weiss es nicht,Wahr,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Neutral / Mir egal,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Mathematik, Deutsch, Geschichte","Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Grammatik / Rechtschreibung",Als Prüfungsvorbereitung,4.0,2,8,Kein Verständnis,False,False,True,True,False,False
79,Männlich,14,Sek A,"Englisch, Geschichte, Sport","Französisch, Biologie, Chemie",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,2,3,ChatGPT,Selten,Manchmal,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Ziemlich nützlich,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Falsch,Falsch,Wahr,Wahr,3,Ja,Stört mich ein wenig,Neutral / Mir egal,Manchmal,Nur für Hausaufgaben,Manchmal,"Deutsch, Geografie, Geschichte","Zusammenfassungen,Schreiben von Texten,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress",4.0,4,9,Kein Verständnis,False,True,False,False,True,False
80,Männlich,14,Sek A,"Mathematik / Geometrie, Kochen, Sport","Deutsch, Englisch, Biologie",2-5 Stunden pro Woche,Ich weiss es nicht,Berufsabschluss,0,3,ChatGPT,Manchmal,Oft,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Eher schlecht,Weder gut noch schlecht,Gutes Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Gutes Verständnis,Gutes Verständnis,Völliges Verständnis,Ich verstehe die Frage nicht,Falsch,Falsch,Wahr,Falsch,Ich weiss es nicht,4,Ja,Stört mich sehr,Stört mich ein wenig,Oft,Nur wenn meine Eltern es erlauben,Manchmal,"Deutsch, Französisch, Englisch","Erklärungen,Schreiben von Texten",Als Prüfungsvorbereitung,4.0,2,24,Gutes Verständnis,False,True,False,False,True,False
81,Weiblich,14,Sek A,"Sport, Handarbeit / Werken","Mathematik / Geometrie, Biologie, Religion und Kultur",0-1 Stunde pro Woche,Abschluss eines Doktorat / Professur,Abschluss an einer Universität / ETH,3,1,,,,,,Eher schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Falsch,Falsch,Falsch,Ich weiss es nicht,Falsch,4,Nein,Neutral / Mir egal,Stört mich sehr,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Nie,,,,,5,9,Kein Verständnis,False,False,True,False,False,True
82,Weiblich,14,Sek A,"Mathematik / Geometrie, Zeichnen / Kunst, Musik",Chemie,Mehr als 5 Stunden pro Woche,Ich weiss es nicht,Abschluss an einer Universität / ETH,1,2,ChatGPT,Selten,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Falsch,3,Ja,Stört mich sehr,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,"Französisch, Englisch, Geschichte","Grammatik / Rechtschreibung,Erklärungen",Erklärungen,3.0,5,12,Schlechtes Verständnis,False,False,True,False,True,False
83,Männlich,14,Sek A,"Englisch, Geschichte, Sport","Mathematik / Geometrie, Deutsch, Französisch",2-5 Stunden pro Woche,Berufsabschluss,Abschluss an einer Universität / ETH,1,5,ChatGPT,Sehr oft,Oft,Verständnisfragen über Wissen im Alltag,Sehr nützlich,Eher gut,Eher gut,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Völliges Verständnis,Kein Verständnis,Völliges Verständnis,Falsch,Falsch,Wahr,Wahr,Ich verstehe die Frage nicht,Falsch,4,Ja,Neutral / Mir egal,Stört mich ein wenig,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Häufig,"Mathematik, Deutsch, Französisch","Zusammenfassungen,Erklärungen,Schreiben von Texten,Grammatik / Rechtschreibung","Zeitersparnis,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,3,17,Mittelmässiges Verständnis,False,True,False,False,True,False
84,Männlich,14,Sek A,"Mathematik / Geometrie, Informatik, Handarbeit / Werken","Deutsch, Englisch, Französisch",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,2,2,"ChatGPT,Gemini (Google),Meta AI (Whatsapp)",Selten,Nie,,Ziemlich nützlich,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Gutes Verständnis,Schlechtes Verständnis,Kein Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Falsch,4,Ja,Neutral / Mir egal,Stört mich ein wenig,Selten,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,"Deutsch, Englisch, Geschichte","Zusammenfassungen,Schreiben von Texten,Lerntechniken / Tipps wie man lernt,Grammatik / Rechtschreibung",Als Prüfungsvorbereitung,4.0,5,11,Schlechtes Verständnis,False,True,False,False,True,False
85,Weiblich,13,Sek A,"Zeichnen / Kunst, Biologie, Sport","Physik, Französisch, Deutsch",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,3,4,"ChatGPT,Gemini (Google)",Sehr oft,Manchmal,Verständnisfragen über Wissen im Alltag,Sehr nützlich,Eher gut,Eher gut,Mittelmässiges Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Völliges Verständnis,Kein Verständnis,Völliges Verständnis,Falsch,Ich weiss es nicht,Falsch,Ich weiss es nicht,Ich verstehe die Frage nicht,Ich verstehe die Frage nicht,4,Nein,Neutral / Mir egal,Stört mich sehr,Oft,Nur in der Schule,Häufig,,,,,2,18,Mittelmässiges Verständnis,False,False,True,False,False,True
86,Weiblich,15,Sek A,Mathematik / Geometrie,"Englisch, Französisch",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,3,"ChatGPT,Deep Seek,Meta AI (Whatsapp)",Manchmal,Nie,,Teils/teils,Weder gut noch schlecht,Eher wenig,Mittelmässiges Verständnis,Schlechtes Verständnis,Gutes Verständnis,Gutes Verständnis,Völliges Verständnis,Schlechtes Verständnis,Wahr,Wahr,Falsch,Wahr,Wahr,Ich weiss es nicht,4,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Neutral / Mir egal,Immer,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Mathematik, Französisch, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten,Grammatik / Rechtschreibung",Erklärungen,4.0,2,20,Mittelmässiges Verständnis,False,False,True,True,False,False
87,Männlich,19,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Englisch, Sport","Mathematik / Geometrie, Biologie, Chemie",2-5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Berufsabschluss,3,4,ChatGPT,Oft,Oft,Verständnisfragen über Wissen im Alltag,Sehr nützlich,Sehr gut,Weder gut noch schlecht,Gutes Verständnis,Mittelmässiges Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Völliges Verständnis,Gutes Verständnis,Falsch,Ich weiss es nicht,Falsch,Falsch,Wahr,Falsch,3,Nein,Stört mich ein wenig,Neutral / Mir egal,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Häufig,"Geschichte, Physik, Mathematik","Zusammenfassungen,Erklärungen","Zeitersparnis,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,5,23,Gutes Verständnis,False,True,False,False,False,True
88,Weiblich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Geschichte, Wirtschaft und Recht, Zeichnen / Kunst","Mathematik / Geometrie, Französisch, Informatik",Mehr als 5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Matura,0,5,ChatGPT,Sehr oft,Manchmal,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Schlechtes Verständnis,Falsch,Ich weiss es nicht,Falsch,Ich weiss es nicht,Falsch,Falsch,4,Ja,Stört mich ein wenig,Stört mich sehr,Oft,"Ja, für beides",Häufig,"Französisch, Biologie, Chemie","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen","Zeitersparnis,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,3,9,Kein Verständnis,False,False,True,False,True,False
89,Weiblich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Biologie, Geschichte, Zeichnen / Kunst","Physik, Mathematik / Geometrie, Geschichte",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Hochschule / Fachhochschule,0,3,ChatGPT,Manchmal,Nie,,Ziemlich nützlich,Eher gut,Sehr gut,Kein Verständnis,Völliges Verständnis,Völliges Verständnis,Völliges Verständnis,Völliges Verständnis,Mittelmässiges Verständnis,Falsch,Wahr,Falsch,Wahr,Wahr,Wahr,3,Ja,Stört mich ein wenig,Stört mich sehr,Oft,"Ja, für beides",Manchmal,Chemie,"Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen",Bessere Erklärungen als von den Lehrern,3.0,3,24,Gutes Verständnis,False,False,True,False,True,False
90,Weiblich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Biologie, Sport, Musik","Chemie, Physik, Informatik",2-5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Hochschule / Fachhochschule,1,5,ChatGPT,Sehr oft,Selten,"Erstellen von Bildern / Videos,Private Fragen zu persönlichen Themen",Ziemlich nützlich,Eher gut,Eher wenig,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Gutes Verständnis,Kein Verständnis,Falsch,Falsch,Falsch,Wahr,Ich weiss es nicht,Falsch,4,Nein,Stört mich ein wenig,Stört mich ein wenig,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Häufig,"Deutsch, Geografie, Geschichte","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen","Zeitersparnis,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,4,14,Schlechtes Verständnis,False,False,True,False,False,True
91,Weiblich,19,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Kochen, Sport, Musik","Physik, Geschichte, Informatik",Mehr als 5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Berufsabschluss,3,5,"ChatGPT,Microsoft Copilot",Oft,Manchmal,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Ziemlich nützlich,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Schlechtes Verständnis,Schlechtes Verständnis,Falsch,Falsch,Falsch,Ich weiss es nicht,Wahr,Falsch,3,Ja,Neutral / Mir egal,Stört mich sehr,Immer,"Ja, für beides",Häufig,"Mathematik, Französisch, Englisch","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung",Zeitersparnis,3.0,5,10,Kein Verständnis,False,False,True,False,True,False
92,Männlich,16,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Englisch, Geschichte, Sport","Französisch, Geografie, Informatik",Mehr als 5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,3,5,"ChatGPT,My AI (Snapchat)",Sehr oft,Manchmal,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Falsch,Ich weiss es nicht,Falsch,Wahr,Falsch,4,Nein,Neutral / Mir egal,Stört mich ein wenig,Immer,Nur wenn die Lehrperson es ausdrücklich erlaubt,Immer,"Französisch, Geografie, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten","Zeitersparnis,Bessere Erklärungen als von den Lehrern",5.0,5,11,Schlechtes Verständnis,False,True,False,False,False,True
93,Weiblich,17,"Gymnasium / Mittelschulen (IMS, HMS, FMS)","Geografie, Wirtschaft und Recht, Sport","Mathematik / Geometrie, Französisch, Physik",Mehr als 5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Hochschule / Fachhochschule,2,4,"ChatGPT,Microsoft Copilot",Oft,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Eher wenig,Schlechtes Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Wahr,Ich weiss es nicht,Ich weiss es nicht,Falsch,4,Ja,Stört mich ein wenig,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Geografie, Biologie, Chemie","Erklärungen,Ideenfindung / Kreative Ideen","Zeitersparnis,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte",4.0,2,10,Kein Verständnis,False,False,True,False,True,False
